Sample in Buffer,Sample in Window,TRIGGER,genblk1[0].Aquila_SoC/RISCV_CORE/fet_pc2dec[31:0],genblk1[0].Aquila_SoC/RISCV_CORE/fet_instr2dec[31:0],genblk1[1].Aquila_SoC/RISCV_CORE/fet_instr2dec[31:0],genblk1[1].Aquila_SoC/RISCV_CORE/fet_pc2dec[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,000008e8,fec79ae3,0087f793,0000067b
1,1,0,000008e8,fec79ae3,fe079ce3,0000067f
2,2,0,000008dc,0006a783,fe079ce3,0000067f
3,3,0,000008dc,0006a783,00072783,00000677
4,4,0,000008e0,fee79ee3,00072783,00000677
5,5,0,000008e0,fee79ee3,0087f793,0000067b
6,6,0,000008e0,fee79ee3,0087f793,0000067b
7,7,0,000008e0,fee79ee3,0087f793,0000067b
8,8,0,000008e4,0005a783,0087f793,0000067b
9,9,0,000008e4,0005a783,fe079ce3,0000067f
10,10,0,000008e8,fec79ae3,fe079ce3,0000067f
11,11,0,000008e8,fec79ae3,00072783,00000677
12,12,0,000008e8,fec79ae3,00072783,00000677
13,13,0,000008e8,fec79ae3,0087f793,0000067b
14,14,0,000008dc,0006a783,0087f793,0000067b
15,15,0,000008dc,0006a783,0087f793,0000067b
16,16,0,000008e0,fee79ee3,0087f793,0000067b
17,17,0,000008e0,fee79ee3,fe079ce3,0000067f
18,18,0,000008e0,fee79ee3,fe079ce3,0000067f
19,19,0,000008e0,fee79ee3,00072783,00000677
20,20,0,000008e4,0005a783,00072783,00000677
21,21,0,000008e4,0005a783,0087f793,0000067b
22,22,0,000008e8,fec79ae3,0087f793,0000067b
23,23,0,000008e8,fec79ae3,0087f793,0000067b
24,24,0,000008e8,fec79ae3,0087f793,0000067b
25,25,0,000008e8,fec79ae3,fe079ce3,0000067f
26,26,0,000008dc,0006a783,fe079ce3,0000067f
27,27,0,000008dc,0006a783,00072783,00000677
28,28,0,000008e0,fee79ee3,00072783,00000677
29,29,0,000008e0,fee79ee3,0087f793,0000067b
30,30,0,000008e0,fee79ee3,0087f793,0000067b
31,31,0,000008e0,fee79ee3,0087f793,0000067b
32,32,0,000008e4,0005a783,0087f793,0000067b
33,33,0,000008e4,0005a783,fe079ce3,0000067f
34,34,0,000008e8,fec79ae3,fe079ce3,0000067f
35,35,0,000008e8,fec79ae3,00072783,00000677
36,36,0,000008e8,fec79ae3,00072783,00000677
37,37,0,000008e8,fec79ae3,0087f793,0000067b
38,38,0,000008dc,0006a783,0087f793,0000067b
39,39,0,000008dc,0006a783,0087f793,0000067b
40,40,0,000008e0,fee79ee3,0087f793,0000067b
41,41,0,000008e0,fee79ee3,fe079ce3,0000067f
42,42,0,000008e0,fee79ee3,fe079ce3,0000067f
43,43,0,000008e0,fee79ee3,00072783,00000677
44,44,0,000008e4,0005a783,00072783,00000677
45,45,0,000008e4,0005a783,0087f793,0000067b
46,46,0,000008e8,fec79ae3,0087f793,0000067b
47,47,0,000008e8,fec79ae3,0087f793,0000067b
48,48,0,000008e8,fec79ae3,0087f793,0000067b
49,49,0,000008e8,fec79ae3,fe079ce3,0000067f
50,50,0,000008dc,0006a783,fe079ce3,0000067f
51,51,0,000008dc,0006a783,00072783,00000677
52,52,0,000008e0,fee79ee3,00072783,00000677
53,53,0,000008e0,fee79ee3,0087f793,0000067b
54,54,0,000008e0,fee79ee3,0087f793,0000067b
55,55,0,000008e0,fee79ee3,0087f793,0000067b
56,56,0,000008e4,0005a783,0087f793,0000067b
57,57,0,000008e4,0005a783,fe079ce3,0000067f
58,58,0,000008e8,fec79ae3,fe079ce3,0000067f
59,59,0,000008e8,fec79ae3,00072783,00000677
60,60,0,000008e8,fec79ae3,00072783,00000677
61,61,0,000008e8,fec79ae3,0087f793,0000067b
62,62,0,000008dc,0006a783,0087f793,0000067b
